# x	y	u	v	flags	mask
4.6104e+00	1.9685e+00	2.8066e+00	1.1204e+00	0.0000e+00	0.0000e+00
4.9005e+00	1.9685e+00	3.0655e+00	8.8641e-01	0.0000e+00	0.0000e+00
5.1906e+00	1.9685e+00	3.1781e+00	4.0594e-01	0.0000e+00	0.0000e+00
5.4807e+00	1.9685e+00	3.2845e+00	-8.7022e-02	0.0000e+00	0.0000e+00
5.7708e+00	1.9685e+00	3.2201e+00	-6.9472e-01	0.0000e+00	0.0000e+00
6.0609e+00	1.9685e+00	3.0616e+00	-7.9980e-01	0.0000e+00	0.0000e+00
6.3510e+00	1.9685e+00	2.8649e+00	-6.2646e-01	0.0000e+00	0.0000e+00
6.6411e+00	1.9685e+00	2.5209e+00	-5.1980e-01	1.0000e+00	0.0000e+00
6.9312e+00	1.9685e+00	2.5505e+00	-3.0031e-01	0.0000e+00	0.0000e+00
7.2213e+00	1.9685e+00	2.2929e+00	-2.0065e-01	0.0000e+00	0.0000e+00
7.5114e+00	1.9685e+00	2.3323e+00	-2.3994e-02	0.0000e+00	0.0000e+00
7.8015e+00	1.9685e+00	2.1365e+00	2.3594e-01	0.0000e+00	0.0000e+00
8.0916e+00	1.9685e+00	2.2720e+00	2.7651e-01	0.0000e+00	0.0000e+00
8.3817e+00	1.9685e+00	2.4377e+00	4.6644e-01	0.0000e+00	0.0000e+00
8.6718e+00	1.9685e+00	2.4844e+00	3.8091e-01	0.0000e+00	0.0000e+00
8.9619e+00	1.9685e+00	2.5425e+00	3.3449e-01	0.0000e+00	0.0000e+00
9.2520e+00	1.9685e+00	2.6183e+00	1.2046e-02	0.0000e+00	0.0000e+00
9.5421e+00	1.9685e+00	2.4610e+00	-4.4349e-03	0.0000e+00	0.0000e+00
9.8322e+00	1.9685e+00	2.6042e+00	-2.2258e-01	0.0000e+00	0.0000e+00
1.0122e+01	1.9685e+00	2.8035e+00	-2.4057e-01	0.0000e+00	0.0000e+00
1.0412e+01	1.9685e+00	2.7302e+00	-2.5165e-01	0.0000e+00	0.0000e+00
1.0702e+01	1.9685e+00	2.8183e+00	-2.1675e-01	0.0000e+00	0.0000e+00
1.0993e+01	1.9685e+00	2.5876e+00	-1.6118e-01	0.0000e+00	0.0000e+00
1.1283e+01	1.9685e+00	2.6810e+00	-2.2561e-02	0.0000e+00	0.0000e+00
1.1573e+01	1.9685e+00	2.6223e+00	-2.1954e-03	0.0000e+00	0.0000e+00
1.1863e+01	1.9685e+00	2.6424e+00	6.6953e-02	0.0000e+00	0.0000e+00
1.2153e+01	1.9685e+00	2.6231e+00	2.1361e-03	0.0000e+00	0.0000e+00
2.5901e-01	1.6784e+00	3.4886e+00	7.3834e-01	0.0000e+00	0.0000e+00
5.4911e-01	1.6784e+00	2.9477e+00	3.3015e-01	0.0000e+00	0.0000e+00
8.3920e-01	1.6784e+00	2.1163e+00	6.4222e-03	0.0000e+00	0.0000e+00
1.1293e+00	1.6784e+00	2.3037e+00	1.6400e-01	1.0000e+00	0.0000e+00
1.4194e+00	1.6784e+00	2.5748e+00	2.9255e-01	0.0000e+00	0.0000e+00
1.7095e+00	1.6784e+00	3.1864e+00	-2.4455e-01	0.0000e+00	0.0000e+00
1.9996e+00	1.6784e+00	3.2751e+00	-8.8183e-01	0.0000e+00	0.0000e+00
2.2897e+00	1.6784e+00	3.1202e+00	-1.1090e+00	0.0000e+00	0.0000e+00
2.5798e+00	1.6784e+00	2.8521e+00	-1.0525e+00	0.0000e+00	0.0000e+00
2.8699e+00	1.6784e+00	2.6533e+00	-8.5868e-01	0.0000e+00	0.0000e+00
3.1600e+00	1.6784e+00	2.1850e+00	-5.1622e-01	0.0000e+00	0.0000e+00
3.4501e+00	1.6784e+00	2.1095e+00	-3.4747e-01	0.0000e+00	0.0000e+00
