# x	y	u	v	flags	mask
1.6000e+01	2.2400e+02	6.7890e+01	6.8462e+00	0.0000e+00	0.0000e+00
3.2000e+01	2.2400e+02	6.8772e+01	6.2325e+00	0.0000e+00	0.0000e+00
4.8000e+01	2.2400e+02	6.8859e+01	5.1402e+00	0.0000e+00	0.0000e+00
6.4000e+01	2.2400e+02	6.9695e+01	4.1341e+00	0.0000e+00	0.0000e+00
8.0000e+01	2.2400e+02	6.9560e+01	2.5384e+00	0.0000e+00	0.0000e+00
9.6000e+01	2.2400e+02	6.9075e+01	1.3180e+00	0.0000e+00	0.0000e+00
1.1200e+02	2.2400e+02	6.9436e+01	5.6416e-01	0.0000e+00	0.0000e+00
1.2800e+02	2.2400e+02	6.9888e+01	-9.5576e-01	0.0000e+00	0.0000e+00
1.4400e+02	2.2400e+02	6.9647e+01	-3.2220e+00	0.0000e+00	0.0000e+00
1.6000e+02	2.2400e+02	7.0170e+01	-5.8135e+00	0.0000e+00	0.0000e+00
1.7600e+02	2.2400e+02	6.8186e+01	-8.3517e+00	0.0000e+00	0.0000e+00
1.9200e+02	2.2400e+02	6.6789e+01	-9.4818e+00	0.0000e+00	0.0000e+00
2.0800e+02	2.2400e+02	6.5139e+01	-9.7480e+00	0.0000e+00	0.0000e+00
2.2400e+02	2.2400e+02	6.2521e+01	-1.0711e+01	0.0000e+00	0.0000e+00
2.4000e+02	2.2400e+02	6.0424e+01	-1.0758e+01	0.0000e+00	0.0000e+00
2.5600e+02	2.2400e+02	5.7776e+01	-1.0164e+01	0.0000e+00	0.0000e+00
2.7200e+02	2.2400e+02	5.6271e+01	-9.2670e+00	0.0000e+00	0.0000e+00
2.8800e+02	2.2400e+02	5.3415e+01	-7.5232e+00	0.0000e+00	0.0000e+00
3.0400e+02	2.2400e+02	5.2544e+01	-6.6567e+00	0.0000e+00	0.0000e+00
3.2000e+02	2.2400e+02	5.0320e+01	-4.3502e+00	0.0000e+00	0.0000e+00
3.3600e+02	2.2400e+02	4.9637e+01	-1.5312e+00	0.0000e+00	0.0000e+00
3.5200e+02	2.2400e+02	4.7338e+01	1.3622e+00	0.0000e+00	0.0000e+00
3.6800e+02	2.2400e+02	4.8199e+01	4.6757e+00	0.0000e+00	0.0000e+00
3.8400e+02	2.2400e+02	4.8887e+01	8.1999e+00	0.0000e+00	0.0000e+00
4.0000e+02	2.2400e+02	5.0397e+01	1.1310e+01	0.0000e+00	0.0000e+00
4.1600e+02	2.2400e+02	5.2712e+01	1.3857e+01	0.0000e+00	0.0000e+00
4.3200e+02	2.2400e+02	5.4990e+01	1.5697e+01	0.0000e+00	0.0000e+00
4.4800e+02	2.2400e+02	5.9050e+01	1.5092e+01	0.0000e+00	0.0000e+00
4.6400e+02	2.2400e+02	6.1640e+01	1.3185e+01	0.0000e+00	0.0000e+00
4.8000e+02	2.2400e+02	6.4878e+01	1.0739e+01	0.0000e+00	0.0000e+00
4.9600e+02	2.2400e+02	6.6202e+01	5.5924e+00	0.0000e+00	0.0000e+00
5.1200e+02	2.2400e+02	6.6824e+01	1.5722e+00	0.0000e+00	0.0000e+00
5.2800e+02	2.2400e+02	6.7457e+01	-1.3072e+00	0.0000e+00	0.0000e+00
5.4400e+02	2.2400e+02	6.4474e+01	-6.3684e+00	1.0000e+00	0.0000e+00
5.6000e+02	2.2400e+02	6.4856e+01	-9.2667e+00	0.0000e+00	0.0000e+00
5.7600e+02	2.2400e+02	6.3510e+01	-1.1086e+01	0.0000e+00	0.0000e+00
5.9200e+02	2.2400e+02	6.1483e+01	-1.0353e+01	0.0000e+00	0.0000e+00
6.0800e+02	2.2400e+02	5.8831e+01	-9.2613e+00	0.0000e+00	0.0000e+00
6.2400e+02	2.2400e+02	5.5948e+01	-9.6204e+00	1.0000e+00	0.0000e+00
6.4000e+02	2.2400e+02	5.4113e+01	-8.2929e+00	1.0000e+00	0.0000e+00
6.5600e+02	2.2400e+02	5.4677e+01	-5.6520e+00	0.0000e+00	0.0000e+00
6.7200e+02	2.2400e+02	5.3226e+01	-4.6161e+00	0.0000e+00	0.0000e+00
6.8800e+02	2.2400e+02	5.2361e+01	-2.5272e+00	0.0000e+00	0.0000e+00
7.0400e+02	2.2400e+02	5.0777e+01	1.3998e-01	0.0000e+00	0.0000e+00
7.2000e+02	2.2400e+02	5.0104e+01	1.6629e+00	0.0000e+00	0.0000e+00
7.3600e+02	2.2400e+02	5.0423e+01	2.8769e+00	0.0000e+00	0.0000e+00
7.5200e+02	2.2400e+02	5.0095e+01	4.3510e+00	0.0000e+00	0.0000e+00
7.6800e+02	2.2400e+02	5.0529e+01	5.0743e+00	0.0000e+00	0.0000e+00
7.8400e+02	2.2400e+02	5.1252e+01	6.3408e+00	0.0000e+00	0.0000e+00
8.0000e+02	2.2400e+02	5.2807e+01	6.3715e+00	0.0000e+00	0.0000e+00
8.1600e+02	2.2400e+02	5.3740e+01	6.4525e+00	0.0000e+00	0.0000e+00
8.3200e+02	2.2400e+02	5.4007e+01	6.6324e+00	0.0000e+00	0.0000e+00
8.4800e+02	2.2400e+02	5.5626e+01	4.7586e+00	0.0000e+00	0.0000e+00
8.6400e+02	2.2400e+02	5.5219e+01	2.4874e+00	0.0000e+00	0.0000e+00
8.8000e+02	2.2400e+02	5.6231e+01	1.4601e+00	0.0000e+00	0.0000e+00
8.9600e+02	2.2400e+02	5.6766e+01	3.1783e-01	0.0000e+00	0.0000e+00
9.1200e+02	2.2400e+02	5.7745e+01	-1.1600e+00	0.0000e+00	0.0000e+00
9.2800e+02	2.2400e+02	5.7193e+01	-2.5796e+00	0.0000e+00	0.0000e+00
